"Scopus Author ID","Name","Latest Affilation","Latest Affiliation Country","Latest Affiliation Scopus Organization ID","Number of matching documents","Total citations","Total documents","h-index","First publication year"
"14021418000","Liwicki, Marcus","Luleå University of Technology","Sweden","60007183","11","4638","290","33","2005"
"55192842100","Jurgens, David A.","University of Michigan, Ann Arbor","United States","60025778","11","2387","88","28","2004"
"57194682918","Dalvi, Fahim","Qatar Computing Research Institute","Qatar","60104768","11","634","32","15","2017"
"57204524255","Fu, Sunyang","University of Texas Health Science Center at Houston","United States","60027512","11","440","61","13","2015"
"36998828400","Mimura, Mamoru","National Defense Academy of Japan","Japan","60004176","10","185","49","12","2016"
"10739396100","Li, Yunyao","Apple","United States","115896004","10","2023","102","22","2004"
"55843821600","Chy, Abu Nowshed","University of Chittagong","Bangladesh","60033059","10","222","41","9","2013"
"55807840100","Arslan, Muhammad","Université de Bourgogne","France","60031810","10","424","34","11","2014"
"57192573637","Dehbozorgi, Nasrin","Kennesaw State University","United States","60019740","10","105","24","7","2016"
"24343960200","Lee, Lunghao","National Central University","Taiwan","60024666","10","579","73","14","2004"
"54906688100","Mamatha, H. R.","PES University","India","60097260","10","91","56","4","2011"
"56027897100","Cohan, Arman","Yale University","United States","60005455","10","2743","64","22","2014"
"19639611700","Yeniterzi, Reyyan","Sabancı Üniversitesi","Turkey","60008991","10","462","31","12","2007"
"23479777500","Luo, Xiangfeng","Shanghai University","China","60023813","10","1664","256","24","2004"
"55667758000","Vieira, Tim","ETH Zürich","Switzerland","60025858","10","272","21","7","2012"
"25121265700","Habernal, Ivan","Universität Paderborn","Germany","60020238","10","927","42","17","2007"
"57189268006","Santus, Enrico C.","Bayer Corporation, USA","United States","60025574","10","870","71","17","1993"
"56287676100","Kanojia, Diptesh","University of Surrey","United Kingdom","60021097","10","213","48","8","2012"
"56347319600","García-Pablos, Aitor","VICOMTech","Spain","60086943","10","510","27","9","2012"
"56007649700","De Silva, Nisansa H.Nisansa D.","University of Moratuwa","Sri Lanka","60071105","10","291","45","10","2013"
"7006104981","Biegler, Lorenz T.","College of Engineering","United States","60104842","10","17156","619","73","1981"
"57192947319","Muhammad, Shamsuddeen Hassan","Universidade do Porto","Portugal","60007249","10","278","24","8","2016"
"36723202000","Yan, Rui","Renmin University of China","China","60014402","10","3981","208","37","2010"
"56136751400","Liu, Gongshen","Shanghai Jiao Tong University","China","60025084","10","1237","135","17","2001"
"56763084800","Shen, Ying","Sun Yat-Sen University","China","60021182","10","1531","118","25","2015"
"56254083200","Vogelsang, Andreas","Universität zu Köln","Germany","60024025","10","759","132","16","2010"
"13006618600","Bollegala, Danushka Tarupathi","Amazon.com, Inc.","United States","60076757","10","2576","172","29","2005"
"55744667900","Sun, Xu","Peking University","China","60014966","10","3581","147","35","2006"
"56027165800","Benlahmar, El Habib","Laboratoire de Technologie de l'Information et Modélisation","Morocco","60192384","10","516","110","10","2012"
"56350081100","Li, Junyi Jessy","The University of Texas at Austin","United States","60013372","10","659","68","16","2014"
"55418415800","Yin, Wenpeng","Pennsylvania State University","United States","60001439","10","1529","47","18","2012"
"55387416000","Zhao, Dong-Yan","Peking University","China","60014966","10","5258","300","42","2004"
"57211746430","Zhou, Jie","Tencent","China","60114181","10","3540","185","33","2013"
"25652280700","Talukdar, Partha Pratim","Google LLC","United States","60006191","10","4371","111","37","2006"
"57188576200","Winata, Genta Indra","Bloomberg","United States","116370897","10","739","51","19","2015"
"57156051300","Shrivastava, Manish","International Institute of Information Technology, Hyderabad","India","60000163","10","1057","128","18","2006"
"57031310100","Bianchi, Federico","Università Bocconi","Italy","60021796","10","614","58","14","2015"
"56349687800","Kiela, Douwe","Contextual AI","United States","130730076","10","5598","93","37","2013"
"15043153900","Nakov, Preslav Ivanov","Mohamed Bin Zayed University of Artificial Intelligence","United Arab Emirates","60195969","10","6526","309","51","2000"
"55358453700","Zhang, Jiansong","Purdue University","United States","60009254","10","846","112","18","2009"
"56898917300","Strubell, Emma","Carnegie Mellon University","United States","60027950","10","1883","32","12","2015"
"56518549100","Zhou, Li","Harvard Medical School","United States","60002746","10","2238","130","30","2005"
"35594617600","Stewart, Robert J.","South London and Maudsley NHS Foundation Trust","United Kingdom","60028884","10","22337","730","79","1981"
"23972166600","Alex, Beatrice","The University of Edinburgh","United Kingdom","60027272","10","3242","84","23","2005"
"15134987600","Crossley, Scott Andrew","Vanderbilt University","United States","60003915","10","3406","233","44","2005"
"34969292900","Lee, Hung Yi","National Taiwan University","Taiwan","60005429","10","2980","217","31","2009"
"57190004147","Zhao, Jun","Institute of Automation Chinese Academy of Sciences","China","60018486","10","10150","283","48","2003"
"11840246100","Koç, Aykut","Bilkent Üniversitesi","Turkey","60014808","9","605","77","13","2006"
"14016744900","Seddah, Djamé","INRIA Institut National de Recherche en Informatique et en Automatique","France","60013373","9","1656","59","16","2005"
